急售！有钥匙方便看，地铁口 三房两卫，明德学 校,保利麓谷林语E区 -麓谷西,3室2厅 | 110.52平米 | 南 | 精装 | 低楼层(共33层) | 2013年建 | 板塔结合,81人关注 / 5个月以前发布,125,"11,311元/平"
满五唯一 南北朝向 地铁口  龙湖天街 宜家旁,蓝光COCO蜜城 -洋湖垸,3室1厅 | 75.15平米 | 南 | 其他 | 中楼层(共31层) | 2015年建 | 板塔结合,3人关注 / 3个月以前发布,105,"13,973元/平"
业主诚心出售 中间楼层，采光好通地下车库 绿化高,五矿哈佛小镇 -暮云,3室2厅 | 89.14平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,6人关注 / 7个月以前发布,72.8,"8,167元/平"
观音岩金地一梯两户小洋房带花园和地下室，业主诚心售,金地三千府 -望城区,4室2厅 | 163.82平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,165,"10,073元/平"
毛坯四房，业主诚心出售，满五唯一。,凯特梅溪紫郡 -枫林三路,4室2厅 | 121.51平米 | 南 | 毛坯 | 高楼层(共34层) | 2013年建 | 板塔结合,26人关注 / 9个月以前发布,142.8,"11,753元/平"
地铁口，总共11层的小高层，边户 通风采光好，很安静,保利麓谷林语蔷薇谷 -麓谷西,3室2厅 | 90.66平米 | 南 北 | 简装 | 中楼层(共11层) | 2013年建 | 板塔结合,41人关注 / 4个月以前发布,110,"12,134元/平"
正地铁口，户型周正，格局通透，看房方便，,东玺门 -马王堆,2室2厅 | 90.11平米 | 南 | 精装 | 34层 | 2009年建 | 板塔结合,13人关注 / 7个月以前发布,86.7,"9,622元/平"
南北通透，前后无遮挡，在售不多的大户出售，双阳台,丰升德润 -喜盈门,4室2厅 | 185.01平米 | 南 北 | 毛坯 | 中楼层(共29层) | 2016年建 | 板楼,2人关注 / 4个月以前发布,219.8,"11,881元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
自住精装。楼层好。采光好。省个税.,CROSS尚公馆 -金星北,3室2厅 | 114.93平米 | 南 | 精装 | 高楼层(共33层) | 2011年建 | 塔楼,9人关注 / 7个月以前发布,88,"7,657元/平"
正规大三房  南北通透 南郊公园 湘江旁,湘江锦绣 -南郊公园,3室2厅 | 125.56平米 | 南 北 | 精装 | 中楼层(共27层) | 2011年建 | 塔楼,25人关注 / 一年前发布,115,"9,159元/平"
市妇幼，左家塘十字路口，地铁7号线,自由.com -窑岭,2室1厅 | 66.37平米 | 南 | 简装 | 中楼层(共25层) | 2006年建 | 塔楼,9人关注 / 2个月以前发布,42.8,"6,449元/平"
满五唯一次新小区小三房，房东自住精装修，楼层高,芙蓉万国城MOMA -汽车东站,3室2厅 | 86.96平米 | 南 | 精装 | 高楼层(共33层) | 2015年建 | 板塔结合,0人关注 / 1个月以前发布,95,"10,925元/平"
香樟兰亭 边户3+1户型  中间楼层 精装修,香樟兰亭 -树木岭,4室2厅 | 88.9平米 | 南 | 精装 | 中楼层(共32层) | 2014年建 | 板塔结合,8人关注 / 6个月以前发布,115,"12,936元/平"
金星北 地铁口 纯别墅区 盈峰翠邸 满五唯一 业主急售,盈峰翠邸 -望城区,4室2厅 | 198.87平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,3人关注 / 1个月以前发布,200,"10,057元/平"
急急急 利用率高 湖景视野 提包入住 采光好,富基世纪公园 -金星北,4室2厅 | 105.47平米 | 南 | 精装 | 高楼层(共32层) | 2014年建 | 板塔结合,2人关注 / 2个月以前发布,85,"8,060元/平"
金星北 珠江东方明珠 毛坯小三房 东边户 视野采光好,珠江东方明珠 -金星北,3室2厅 | 88.88平米 | 南 | 毛坯 | 中楼层(共22层)  | 板塔结合,3人关注 / 5个月以前发布,72,"8,101元/平"
一楼洋房、前后双院子、视野开阔、诚意出售,卓越蔚蓝海岸一期 -市政府,4室2厅 | 165.74平米 | 南 北 | 精装 | 低楼层(共4层) | 2011年建 | 板楼,18人关注 / 一年前发布,330,"19,911元/平"
业主腾资格 急售 免个税 市区双府一楼带独立院子洋房,卓越蔚蓝海岸一期 -市政府,4室2厅 | 165.38平米 | 南 | 毛坯 | 低楼层(共4层) | 2011年建 | 板塔结合,7人关注 / 2个月以前发布,320,"19,350元/平"
位置优越，时尚装修，户型周正，家具齐全，拎包入住,未来蜂巢 -泉塘,3室2厅 | 117平米 | 南 | 精装 | 中楼层(共28层) | 2009年建 | 板楼,1人关注 / 8天以前发布,91.8,"7,847元/平"
"房子朝南,采光好,楼层好,价格实惠",阳光丽城 -观沙岭,4室2厅 | 134.08平米 | 南 | 精装 | 26层 | 2013年建 | 板塔结合,9人关注 / 4个月以前发布,205,"15,290元/平"
"左邻地铁口,右临松雅湖,单价七字头,诚心出售,随时看房",爱琴海岸 -松雅湖,3室2厅 | 109.13平米 | 南 | 精装 | 低楼层(共23层) | 2011年建 | 板塔结合,0人关注 / 1个月以前发布,78,"7,148元/平"
小区中间楼层   精装修   改好三房很实用  有钥匙,英祥春天 -福元西路,3室2厅 | 82.86平米 | 南 西南 | 精装 | 高楼层(共17层) | 2012年建 | 板塔结合,34人关注 / 6个月以前发布,87.8,"10,597元/平"
置换房，高楼层，视野好，格局好，毛坯,春和景园 -福元西路,4室2厅 | 146.55平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 9天以前发布,155,"10,577元/平"
树木岭 城轨地铁 2014年电梯房 精装修三房 不临街,龙瑞尚苑 -树木岭,3室1厅 | 109.79平米 | 南 | 精装 | 中楼层(共17层) | 2012年建 | 板塔结合,7人关注 / 5个月以前发布,102.8,"9,364元/平"
电梯小高层，南北对流，户型周正采光好，配套齐全,滨江美寓 -开福区政府,3室2厅 | 122.17平米 | 南 | 精装 | 高楼层(共9层) | 2006年建 | 板塔结合,19人关注 / 3个月以前发布,92,"7,531元/平"
世纪城南苑，诚心出售，看房随时提前预约,世纪城悦江苑 -湘江世纪城,2室1厅 | 88.7平米 | 南 | 简装 | 低楼层(共25层) | 2010年建 | 塔楼,13人关注 / 6个月以前发布,102,"11,500元/平"
近芙蓉区 别墅洋房 才子早安 20平仓库 南北 价格商量,东业早安星城 -汽车东站,3室2厅 | 126.84平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,18人关注 / 一年前发布,81.8,"6,450元/平"
花园小区湘麓国际精装四房 位置好,湘麓国际 -麓谷东,4室2厅 | 139.15平米 | 南 | 精装 | 中楼层(共18层) | 2007年建 | 板塔结合,0人关注 / 1个月以前发布,143.8,"10,335元/平"
天元涉外景园93平三房两卫，！中间楼层，诚心卖,天元涉外景园 -枫林三路,3室2厅 | 93.08平米 | 南 | 毛坯 | 中楼层(共33层) | 2013年建 | 板塔结合,0人关注 / 30天以前发布,108,"11,603元/平"
海底世界旁  居家两房 急售   满五唯一可省个税,紫晶城二期 -中南汽车世界,2室2厅 | 89平米 | 南 | 其他 | 低楼层(共33层) | 2008年建 | 板塔结合,0人关注 / 1个月以前发布,56.2,"6,315元/平"
华润万象汇星沙正地铁口 交通便利全明朝南精装修,华润凤凰城五彩城 -开元路,3室2厅 | 92.16平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,11人关注 / 5个月以前发布,87,"9,441元/平"
"急卖，湖景房，地铁口，满五唯—,品牌装修9成新",和泓梅溪四季 -梅溪湖北岸,5室2厅 | 128.58平米 | 南 北 | 精装 | 低楼层(共34层) | 2013年建 | 板塔结合,12人关注 / 3个月以前发布,275,"21,388元/平"
满五唯一 河边栋四房 直视圭塘河四房 视野开阔,五矿万境水岸二期 -喜盈门,4室2厅 | 143.66平米 | 南 北 | 毛坯 | 中楼层(共33层) | 2015年建 | 板塔结合,9人关注 / 3个月以前发布,275,"19,143元/平"
万象城 双地铁口 双公园围绕 精装四房 拎包入住,山水誉峰 -桐梓坡,4室2厅 | 127.6平米 | 南 北 | 精装 | 高楼层(共28层) | 2013年建 | 板楼,40人关注 / 10个月以前发布,230,"18,026元/平"
满五年唯一，中间楼层，采光充足，视野开阔，业主诚心,瑞都豪庭 -四方坪,3室2厅 | 89.28平米 | 东南 | 精装 | 中楼层(共31层) | 2012年建 | 板塔结合,5人关注 / 3个月以前发布,102,"11,425元/平"
公务员小区 清水毛坯小三房 楼间距宽 视野好无遮挡,盛地尊域 -万家丽北,3室2厅 | 86.99平米 | 东南 | 毛坯 | 低楼层(共32层) | 2013年建 | 板楼,1人关注 / 4个月以前发布,69.8,"8,024元/平"
自住装修，舒适南北露台，低密小区，三网蕞优质洋房,欧莱雅郡 -汽车南站,3室2厅 | 127.58平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 1个月以前发布,158,"12,385元/平"
洋湖生态新城优质三房诚意出售，住洋湖享受幸福生活！,万科白鹭郡 -洋湖垸,3室2厅 | 116.8平米 | 西南 | 精装 | 中楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,176,"15,069元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
小李推举 东方明珠毛胚4房 房东诚心出售,珠江东方明珠 -金星北,4室2厅 | 124.16平米 | 南 北 | 毛坯 | 中楼层(共32层) | 2016年建 | 板塔结合,2人关注 / 3个月以前发布,98.7,"7,950元/平"
喜盈门旁  精装三房 拎包入住小区人车分流,泰禹云开壹品 -万家丽南路,3室2厅 | 89.51平米 | 南 北 | 精装 | 高楼层(共22层)  | 板塔结合,1人关注 / 3个月以前发布,110,"12,290元/平"
两梯两户电梯小高层 南北对流双阳台 有钥匙可随时看房,玫瑰园 -金星北,3室2厅 | 137.76平米 | 南 北 | 精装 | 低楼层(共15层) | 2007年建 | 板楼,16人关注 / 5个月以前发布,105,"7,622元/平"
滨江板块 凯德壹商场旁《协信星澜汇》四房 地铁茶子山,协信星澜汇 -观沙岭,4室2厅 | 126.43平米 | 南 北 | 毛坯 | 高楼层(共34层) | 2014年建 | 板楼,5人关注 / 1个月以前发布,180,"14,238元/平"
配套齐全，房子采光好，交通便利，居家出租都可以,上东印象 -晚报,4室2厅 | 114.72平米 | 北 南 | 简装 | 32层  | 板塔结合,4人关注 / 7个月以前发布,86.8,"7,567元/平"
小区封闭式管理，人车分流，户型优质，采光好,梅溪鑫苑名家 -东方红,4室2厅 | 123.23平米 | 南 | 毛坯 | 高楼层(共33层) | 2016年建 | 板塔结合,0人关注 / 一年前发布,178.8,"14,510元/平"
满五唯一，梅溪湖地铁2号线和6号线 视野开阔,梅溪鑫苑名家 -东方红,3室2厅 | 90.13平米 | 南 | 毛坯 | 高楼层(共33层) | 2016年建 | 板塔结合,0人关注 / 3个月以前发布,119,"13,204元/平"
铁道学院 次新小区 居家三房 配套成熟 近地铁,和庄二期 -新开铺,3室2厅 | 88.42平米 | 北 | 简装 | 低楼层(共33层) | 2014年建 | 塔楼,2人关注 / 3个月以前发布,86.8,"9,817元/平"
雨花亭商圈 户型楼层都很好 业主居家精装,云鼎公馆 -雨花亭,3室2厅 | 92.05平米 | 南 北 | 精装 | 高楼层(共32层) | 2012年建 | 板塔结合,0人关注 / 1个月以前发布,107.5,"11,679元/平"
正地铁口  大三房  诚心出售  看中价格可谈,工贸大厦 -树木岭,3室2厅 | 129.68平米 | 南 | 毛坯 | 中楼层(共35层)  | 板塔结合,0人关注 / 2个月以前发布,108,"8,329元/平"
南山.苏迪亚诺：前后双阳台 满5年 电梯洋房 诚意出售,南山苏迪亚诺 -金星北,3室2厅 | 124平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,20人关注 / 一年前发布,102,"8,226元/平"
精装顶复 有钥匙可以随时看房 房东急售,金帆小区 -四方坪,4室1厅 | 93.17平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,42人关注 / 4个月以前发布,50,"5,367元/平"
城市花园小三房 简单装修  拎包入住,波隆城市花园 -星沙其他,3室2厅 | 89.38平米 | 南 | 其他 | 中楼层(共31层) | 2015年建 | 板塔结合,0人关注 / 1个月以前发布,60.6,"6,781元/平"
急售 1/4号线砂子塘双地铁口 陪读好房 小高层,三重星都心 -雨花亭,2室2厅 | 88.95平米 | 南 | 简装 | 低楼层(共17层) | 2006年建 | 板塔结合,0人关注 / 1个月以前发布,128,"14,391元/平"
木莲花苑 正规南北通透大三房 看房方便,木莲花苑 -武广新城,3室2厅 | 129.04平米 | 南 北 | 精装 | 中楼层(共18层) | 2008年建 | 塔楼,7人关注 / 8个月以前发布,111.8,"8,664元/平"
毛坯小3房 满五唯一免个税 中间楼层 采光户型好,橄榄城 -泉塘,3室1厅 | 84.2平米 | 南 | 精装 | 高楼层(共33层) | 2017年建 | 板塔结合,0人关注 / 1个月以前发布,62,"7,364元/平"
电梯四房 马厂地铁口 花园小区澜北湾  随时看房 急卖,恒鑫澜北湾 -开福区政府,4室2厅 | 134.68平米 | 南 | 简装 | 低楼层(共9层) | 2008年建 | 板楼,34人关注 / 一年前发布,102,"7,574元/平"
清水毛坯，安静居家，次新小区，适合居家，抬高式建筑,阳光城尚东湾 -武广新城,3室2厅 | 117.46平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,3人关注 / 3个月以前发布,110.5,"9,408元/平"
不靠马路小区中间位置视野好安静,丰升德润 -喜盈门,3室2厅 | 123.33平米 | 南 | 简装 | 低楼层(共29层) | 2013年建 | 板塔结合,0人关注 / 1个月以前发布,134.5,"10,906元/平"
户型周正，通透户型，两梯两户.满意唯一,西子花苑 -高桥,3室2厅 | 137.14平米 | 南 北 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,0人关注 / 1个月以前发布,135,"9,844元/平"
郁金香 地铁口 楼层好 交通方便 配套成熟,郁金香小区 -河西人人乐,3室2厅 | 84.32平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,30人关注 / 一年前发布,52.8,"6,262元/平"
阳光晶城大四房 9成新精装 城轨口,阳光晶城 -河西人人乐,4室1厅 | 165.17平米 | 南 | 其他 | 高楼层(共24层) | 2011年建 | 板塔结合,0人关注 / 3个月以前发布,155,"9,385元/平"
双地铁口 正规三房两厅 中间楼层 有钥匙 随时看房,牛角塘小区 -东塘,3室1厅 | 80.67平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,5人关注 / 3个月以前发布,52,"6,447元/平"
墅景美宅，满五省税，业主诚售，看房提前预约,润和之悦 -金星北,3室2厅 | 88.47平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,75,"8,478元/平"
万家丽双地铁口 ，视野开阔无遮挡 ，客厅出阳台小三房,东玺门 -马王堆,3室2厅 | 89.56平米 | 南 | 精装 | 34层 | 2009年建 | 板塔结合,13人关注 / 3个月以前发布,113,"12,618元/平"
视野宽阔，采光充足，配套成熟，户型周正配套设施齐全,世锦家和院 -开元路,4室2厅 | 136.16平米 | 南 | 毛坯 | 高楼层(共33层) | 2016年建 | 板塔结合,2人关注 / 3个月以前发布,118.8,"8,726元/平"
满五唯一省个税，适合刚需朋友，低总价，地铁麓云路站,高盛华成 -枫林三路,3室2厅 | 89.6平米 | 北 | 精装 | 中楼层(共34层) | 2015年建 | 板塔结合,7人关注 / 4个月以前发布,90,"10,045元/平"
急售自住精装大三房 侯家塘好位置 交通配套完善地鉄口,交通银行宿舍 -东塘,3室2厅 | 86平米 | 南 | 简装 | 低楼层(共23层)  | 暂无数据,37人关注 / 4个月以前发布,45,"5,233元/平"
湘樟园周正三房，精装修优质房源,湘樟园 -韶山南路,3室2厅 | 99.7平米 | 南 | 精装 | 高楼层(共7层) | 2001年建 | 板楼,8人关注 / 5个月以前发布,62,"6,219元/平"
树木岭龙瑞尚苑  清水毛坯 不临街  楼层采光好,龙瑞尚苑 -树木岭,4室2厅 | 141.92平米 | 南 | 毛坯 | 高楼层(共15层) | 2011年建 | 塔楼,4人关注 / 3个月以前发布,110.8,"7,808元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
精装居家装修，诚心卖，价可谈！~,鑫天御景湾二期 -喜盈门,3室2厅 | 129.97平米 | 南 | 精装 | 低楼层(共26层) | 2013年建 | 板塔结合,1人关注 / 2个月以前发布,155,"11,926元/平"
↓10w 正地铁口 山水湾精装大3房 满五唯一,山水湾 -万家丽北,3室2厅 | 101.81平米 | 南 | 精装 | 低楼层(共33层) | 2015年建 | 板塔结合,1人关注 / 2个月以前发布,81,"7,956元/平"
松雅湖 吾悦广场 国泰九龙湾  3房 拎包入住,国泰九龙湾 -松雅湖,3室2厅 | 88.64平米 | 东南 | 精装 | 中楼层(共40层) | 2017年建 | 塔楼,2人关注 / 3个月以前发布,94.8,"10,695元/平"
公园旁 小高层 停车免费 一梯两户 业主诚售,卧龙居 -开元路,3室2厅 | 124.35平米 | 南 北 | 精装 | 中楼层(共7层) | 2004年建 | 塔楼,6人关注 / 8个月以前发布,72.8,"5,855元/平"
芙蓉万国城楼层好，带独立露台，好房急售,芙蓉万国城MOMA -汽车东站,3室1厅 | 77.53平米 | 东南 | 简装 | 低楼层(共33层) | 2015年建 | 板塔结合,7人关注 / 5个月以前发布,84.8,"10,938元/平"
闹中取静地铁口联排中户带中阳空调壁暖精装修看房方便,长泰豪园 -湘江世纪城,5室2厅 | 243.18平米 | 南 | 精装 | 1层 | 2005年建 | 暂无数据 | 联排别墅 ,23人关注 / 4个月以前发布,303,"12,460元/平"
装修很棒，领包入住，满五唯一，离**近,佳兆业云顶梅溪湖 -梅溪湖南岸,3室2厅 | 121.68平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 1个月以前发布,207,"17,012元/平"
洋湖时代 可做婚房，9成新，诚心麦。,洋湖style -含浦,4室2厅 | 104平米 | 南 | 精装 | 高楼层(共29层) | 2017年建 | 塔楼,1人关注 / 1个月以前发布,115,"11,058元/平"
恒广国际景园 清水毛坯 地铁口 配套成熟 人车人流,恒广国际景园 -中南汽车世界,2室2厅 | 89.51平米 | 南 | 毛坯 | 中楼层(共33层) | 2015年建 | 塔楼,0人关注 / 2个月以前发布,70.8,"7,910元/平"
精装修拎包入住小三房，楼层好。,景芳苑公寓 -韶山南路,3室1厅 | 93平米 | 南 | 精装 | 低楼层(共7层) | 2005年建 | 板楼,0人关注 / 1个月以前发布,75.8,"8,151元/平"
经纪人都想买的户型，业主忍痛割爱。急售！快马加鞭！,澳海澜庭 -金星北,3室2厅 | 105.57平米 | 北 | 毛坯 | 高楼层(共32层) | 2015年建 | 板楼,3人关注 / 3个月以前发布,81,"7,673元/平"
此房满五唯一，主卧朝南客厅阳台朝南，房东诚心出售。,恒广国际景园 -中南汽车世界,2室2厅 | 89.52平米 | 东南 | 简装 | 高楼层(共33层) | 2015年建 | 塔楼,0人关注 / 1个月以前发布,72.8,"8,133元/平"
奥克斯缔壹城 4室2厅 南 北,奥克斯缔壹城 -雷锋大道,4室2厅 | 141.84平米 | 南 北 | 毛坯 | 中楼层(共33层) | 2015年建 | 暂无数据,1人关注 / 1个月以前发布,171,"12,056元/平"
亏死了 业主聊撇大方 需要资金 就这个价卖了算了,中国铁建国际城 -泉塘,2室2厅 | 80.52平米 | 东 | 精装 | 中楼层(共30层) | 2011年建 | 板塔结合,2人关注 / 1个月以前发布,53.8,"6,682元/平"
中茂城尚都花园城，自住精装两房，诚心出售，随时看房,尚都花园城 -泉塘,2室2厅 | 75.41平米 | 北 | 精装 | 中楼层(共31层) | 2011年建 | 板塔结合,14人关注 / 一年前发布,50.5,"6,697元/平"
郁金香 地铁口 楼层好 交通方便 配套成熟,郁金香小区 -河西人人乐,3室2厅 | 84.32平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,30人关注 / 一年前发布,52.8,"6,262元/平"
花园式小区，户型周正，理想中的家园,通用时代国际社区 -金盆岭,2室2厅 | 75.17平米 | 南 | 精装 | 低楼层(共31层) | 2014年建 | 板塔结合,1人关注 / 3个月以前发布,98,"13,038元/平"
五一广场、毛坯房，朝南户型带小区,铂宫2中山庭 -松桂园,3室2厅 | 113.52平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,5人关注 / 3个月以前发布,180,"15,857元/平"
富基世纪公园精装两房 业主换房 诚意出售 价格可谈,富基世纪公园 -金星北,2室2厅 | 79.82平米 | 南 | 精装 | 高楼层(共32层) | 2014年建 | 板塔结合,5人关注 / 9个月以前发布,55.8,"6,991元/平"
中海国际精装居家两房 中高楼层 视野采光好 随时看房,中海国际社区1期 -含浦,2室2厅 | 84.8平米 | 南 | 精装 | 高楼层(共30层) | 2013年建 | 塔楼,7人关注 / 10个月以前发布,80,"9,434元/平"
业主诚心出售 清水毛坯 钥匙在手 随时可看房,阳光城尚东湾 -武广新城,4室2厅 | 142.94平米 | 南 | 毛坯 | 中楼层(共38层)  | 板塔结合,46人关注 / 8个月以前发布,158,"11,054元/平"
自住装修，保养好，价格可谈，近地铁！,时代倾城 -金星北,3室1厅 | 83.76平米 | 南 北 | 精装 | 低楼层(共32层) | 2014年建 | 板塔结合,2人关注 / 2个月以前发布,77.8,"9,289元/平"
地铁口 运达广场 盛世华章南北对流纯板楼 户型周正4房,嘉宇中央 -武广新城,4室2厅 | 118.42平米 | 南 | 毛坯 | 中楼层(共28层) | 2013年建 | 板塔结合,109人关注 / 10个月以前发布,129,"10,894元/平"
房子是中间楼层.商品房.价格可谈.,圆梦.灰埠农贸大市场 -松雅湖,2室2厅 | 88.56平米 | 南 | 精装 | 中楼层(共7层)  | 平房,2人关注 / 4个月以前发布,39,"4,404元/平"
急售地铁口高绿化小区 不靠马路楼层好 视野好通透五房,湘府十城 -汽车南站,5室2厅 | 156.88平米 | 南 北 | 毛坯 | 高楼层(共32层) | 2014年建 | 板楼,5人关注 / 3个月以前发布,158,"10,072元/平"
北辰洋房带36方露台，2016年次小区，未入住,北辰中央公园 -省政府,3室2厅 | 144.83平米 | 南 | 其他 | 低楼层(共6层) | 2014年建 | 板塔结合,5人关注 / 2个月以前发布,166.8,"11,517元/平"
晓园公园 2.3号线地铁口100米 三房,晓园大厦 -火车站,3室2厅 | 82.45平米 | 东南 南 | 简装 | 19层  | 塔楼,6人关注 / 3个月以前发布,65,"7,884元/平"
谷山公园旁，龙湖湘风原著精装三房拎包入住,龙湖湘风原著B3区 -金星北,3室1厅 | 87.52平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,85.8,"9,804元/平"
置换房源，振业城二期，毛坯四房，双地铁,振业城 -梅溪湖北岸,4室2厅 | 127.9平米 | 南 | 其他 | 高楼层(共33层) | 2015年建 | 塔楼,2人关注 / 4个月以前发布,248,"19,391元/平"
楼层好，采光好，南北通透，房屋设施齐全,世纪城聚江苑 -湘江世纪城,3室2厅 | 133.57平米 | 南 北 | 精装 | 高楼层(共33层) | 2008年建 | 塔楼,3人关注 / 3个月以前发布,190,"14,225元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
物业管理严格，高得房 配套湘府英才 看房方便,华电湘苑 -省政府,3室2厅 | 89.78平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,12人关注 / 6个月以前发布,102,"11,362元/平"
满五唯一精装三房 三面采光好户型 低密度小高层,长房西郡 -河西人人乐,3室2厅 | 114.73平米 | 南 | 精装 | 高楼层(共11层) | 2010年建 | 板塔结合,0人关注 / 2个月以前发布,108,"9,414元/平"
带有三个露台 早安星城 洋房别墅小区南北通透户型周,东业早安星城 -汽车东站,3室1厅 | 123.32平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,15人关注 / 5个月以前发布,79.8,"6,471元/平"
双地铁口 满五唯一 江景房 小高层 商场配套齐全,沁园春 -银盆岭,4室2厅 | 164.32平米 | 南 | 精装 | 低楼层(共17层) | 2003年建 | 板塔结合,1人关注 / 2个月以前发布,158,"9,616元/平"
此房源价格实惠，欢迎大家来带看,橄榄城 -泉塘,3室2厅 | 88.03平米 | 南 | 精装 | 中楼层(共33层) | 2015年建 | 板塔结合,2人关注 / 一年前发布,65,"7,384元/平"
武广高铁新城 正地铁口 恒大绿洲 沙湾公园 游泳网球馆,恒大绿洲 -武广新城,3室2厅 | 127.18平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,158,"12,424元/平"
北辰ZY公园，精装三房，视野好，次新小区，带车位！,北辰中央公园 -省政府,3室2厅 | 93.8平米 | 南 | 精装 | 高楼层(共14层) | 2014年建 | 板塔结合,6人关注 / 3个月以前发布,110,"11,728元/平"
汽车南站商圈，七号线地铁，天虹商场,丰园城 -汽车南站,3室2厅 | 112.06平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,90,"8,032元/平"
急售急售，小区水景位置，安静，唯一，可谈,南城印象 -喜盈门,3室2厅 | 89.96平米 | 南 | 精装 | 中楼层(共28层) | 2016年建 | 板塔结合,1人关注 / 3个月以前发布,101.6,"11,294元/平"
珠江二期 中高楼层 采光优良清水毛坯 诚心出售,珠江东方明珠 -金星北,3室2厅 | 140.97平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,37人关注 / 一年前发布,96,"6,810元/平"
次新小区毛坯三房，满五唯一，诚心出售，有钥匙,绿地之窗 -武广新城,3室2厅 | 109.2平米 | 南 | 毛坯 | 高楼层(共34层) | 2016年建 | 板塔结合,15人关注 / 7个月以前发布,112,"10,257元/平"
山水印象 精装小三房 看房方便 诚心出售,山水印象 -暮云,3室2厅 | 89.93平米 | 南 | 精装 | 中楼层(共9层) | 2013年建 | 板楼,30人关注 / 7个月以前发布,56.8,"6,317元/平"
板楼 正地铁口 小高层 精装修,玫瑰园 -金星北,3室2厅 | 114.48平米 | 南 | 精装 | 高楼层(共9层) | 2007年建 | 平房,24人关注 / 5个月以前发布,95.8,"8,369元/平"
天健壹平方英里 精装修 拎包入住  南北对流,天健壹平方英里 -伍家岭,4室1厅 | 140.86平米 | 南 | 精装 | 高楼层(共33层) | 2015年建 | 板塔结合,14人关注 / 5个月以前发布,262.8,"18,657元/平"
带杂物间 看房方便 三房两卫 3地铁口 市忠心,省地税宿舍 -黄土岭,3室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,30人关注 / 一年前发布,95.8,"9,877元/平"
地铁口满五唯一视野宽阔配套设施齐,华润凤凰城五彩城 -开元路,3室1厅 | 112.31平米 | 南 北 | 毛坯 | 低楼层(共24层) | 2014年建 | 板塔结合,11人关注 / 4个月以前发布,106,"9,439元/平"
盈峰翠邸下叠 边户 位置好 大花园,盈峰翠邸 -望城区,3室2厅 | 106平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 暂无数据,69人关注 / 7个月以前发布,108,"10,189元/平"
楼层佳 采光好 户型周正 满五唯一,恒大翡翠华庭 -开元路,4室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共24层) | 2015年建 | 塔楼,0人关注 / 4个月以前发布,140.8,"10,058元/平"
星沙大道 带全新家具家电 全新精装小三房 拎包入住,楚天世纪城 -泉塘,3室2厅 | 87.09平米 | 南 北 | 精装 | 低楼层(共33层) | 2015年建 | 塔楼,1人关注 / 1个月以前发布,70.8,"8,130元/平"
小高层 一梯二户 南北通知 户型周正,卓越麓山别墅 -含浦,3室2厅 | 88.81平米 | 东南 | 精装 | 中楼层(共9层)  | 暂无数据,27人关注 / 7个月以前发布,74,"8,333元/平"
房子在诚心出售，经典小三房，精装修拎包入住,天晟海拔东方 -武广新城,3室2厅 | 97.26平米 | 东南 | 精装 | 低楼层(共32层) | 2011年建 | 板塔结合,22人关注 / 5个月以前发布,100,"10,282元/平"
满五唯一，中高楼层，南北通风，采光视野好,天元涉外景园 -枫林三路,3室1厅 | 93.01平米 | 南 | 毛坯 | 高楼层(共32层) | 2014年建 | 塔楼,5人关注 / 5个月以前发布,112,"12,042元/平"
